year,month,id,group_name
2013,10,1229,Computer Science
2013,11,1187,Computer Science
2013,12,1352,Computer Science
2014,1,1563,Computer Science
2014,2,1296,Computer Science
2014,3,1242,Computer Science
2014,4,1466,Computer Science
2014,5,1331,Computer Science
2014,6,1301,Computer Science
2014,7,1339,Computer Science
2014,8,1187,Computer Science
2014,9,1344,Computer Science
2014,10,1359,Computer Science
2014,11,1364,Computer Science
2014,12,1514,Computer Science
2015,1,1316,Computer Science
2015,2,1498,Computer Science
2015,3,1590,Computer Science
2015,4,1593,Computer Science
2015,5,1572,Computer Science
2015,6,1670,Computer Science
2015,7,1654,Computer Science
2015,8,1328,Computer Science
2015,9,1641,Computer Science
2015,10,1489,Computer Science
2015,11,1951,Computer Science
2015,12,1530,Computer Science
2016,1,1518,Computer Science
2016,2,1825,Computer Science
2016,3,1896,Computer Science
2016,4,1995,Computer Science
2016,5,2057,Computer Science
2016,6,2170,Computer Science
2016,7,1836,Computer Science
2016,8,1831,Computer Science
2016,9,2056,Computer Science
2016,10,2038,Computer Science
2016,11,2413,Computer Science
2016,12,2069,Computer Science
2017,1,2025,Computer Science
2017,2,2231,Computer Science
2017,3,2745,Computer Science
2017,4,2395,Computer Science
2017,5,2757,Computer Science
2017,6,2489,Computer Science
2017,7,2658,Computer Science
2017,8,2503,Computer Science
2017,9,2796,Computer Science
2017,10,2627,Computer Science
2017,11,3079,Computer Science
2017,12,2492,Computer Science
2018,1,2552,Computer Science
2018,2,3199,Computer Science
2018,3,3353,Computer Science
2018,4,3434,Computer Science
2018,5,3966,Computer Science
2018,6,3467,Computer Science
2018,7,3538,Computer Science
2018,8,3130,Computer Science
2018,9,3628,Computer Science
2018,10,3860,Computer Science
2018,11,4256,Computer Science
2018,12,3536,Computer Science
2019,1,3567,Computer Science
2019,2,3704,Computer Science
2019,3,4034,Computer Science
2019,4,4690,Computer Science
2019,5,5100,Computer Science
2019,6,4921,Computer Science
2019,7,4706,Computer Science
2019,8,4273,Computer Science
2019,9,5207,Computer Science
2019,10,5430,Computer Science
2019,11,5203,Computer Science
2019,12,4507,Computer Science
2020,1,4266,Computer Science
2020,2,5375,Computer Science
2020,3,5474,Computer Science
2020,4,6042,Computer Science
2020,5,5896,Computer Science
2020,6,6828,Computer Science
2020,7,6545,Computer Science
2020,8,5405,Computer Science
